keys,es,en
B93EF9_7C5771,¿Hola?,Hello?
B93EF9_446CCF,¿Estás despierto?,Are you awake?
B93EF9_2A6D4D,¡Parece que ha funcionado!,Looks like it works!
B93EF9_08B2E7,¿Donde estoy?,Where am I?
B93EF9_AF909B,"Hola, que bueno que ya estás conciente, bienvenido devuelta a la nave hogar Hestia.","Hi there, I’m glad you’re aware, welcome again to the Hestia home ship."
B93EF9_0EDD7F,¿Quién eres?,Who are you?
B93EF9_3A1F75,Soy la Computadora de Inteligencia Artificial de Navegación de la nave.,I’m a Computer that is Intelligent but Artificial in charge of Navigation of the ship.
B93EF9_43AFA2,"Llámame ""Cian"".",Just call me “Cian”
B93EF9_4F0087,Cian suena bien...,Cian sounds good.
B93EF9_77CFFF,¿Y tú? ¿Cuál es tu nombre?,And you? What’s your name?
B93EF9_A4E33E,... ¿Mi nombre? ¿Siquiera tengo uno?,… My name? Do I even have one?
B93EF9_3B8626,¿No puedes recordar tu nombre?,Can’t you remember your name?
B93EF9_F86915,No puedo recordar absolutamente nada...,I can’t remember nothing at all
B93EF9_F7C39D,Entiendo...,I see…
B93EF9_D29BD9,Pero eres un humano ¿No?,"But you are a human, Right?"
B93EF9_7904E0,Realmente es una buena pregunta...,That’s a really good question…
B93EF9_2B07BE,¿No reconoces la nave?,Don’t you  recognize the ship?
B93EF9_250E81,No estoy seguro...,I’m not sure…
B93EF9_B963CA,Está pegado al suelo...,It’s stuck on the ground…
B93EF9_64C9A1,Prueba a presionar click izquierdo para atacar.,Press the left click to attack.
B93EF9_0DE901,O presiona este botón si estás en celular.,Or press this button if you are on your phone.
B93EF9_D649A8,¿Qué?,What?
B93EF9_9FF8D2,Que le pegues para despegarlo.,Hit him to unstuck him!
B93EF9_154173,"Parece que esta puerta está atascada, creo que puedes usar una llave inglesa para abrirla.",Looks like the door is blocked. Maybe you can use a wrench to open it.
B93EF9_FB81B0,"Si quieres continuar, creo que servirá que encuentres una llave inglesa por aquí.","If you want to continue, I think that you need to find a wrench around here."
B93EF9_9CC5C2,"Si mantienes presionada ""Q"" en tu teclado, puedes usar el objeto.",If you hold “Q” on your keyboard you can use the object.
B93EF9_238BE6,O mantén presionada la pantalla si estás en el celular.,Or hold the screen if you are on your phone.
B93EF9_A8BBC0,No entiendo...,I don’t understand…
B93EF9_8BBAFC,"No te preocupes, solo son protocolos, usa la llave que obtuviste...","Don’t worry, it’s only protocols. Use the wrench you got."
B93EF9_E6BB1A,Saca esas tuercas.,Remove those nuts off.
B93EF9_4AF10D,"En cualquier lugar de la nave presiona ""P"" en tu teclado para entrar al menú de pausa.","In any place of the ship, you can press “P” on your keyboard to open the pause menu."
B93EF9_9519F8,O toca en esta región de la pantalla si estás en celular.,Or tap on this area of the screen if you are on your phone.
B93EF9_E6F98C,Esto es... Gigante.,This is… Colossal.
B93EF9_FCE8DE,"La nave Hestia, al funcionar como ciudad en el espacio, cuenta con cientos de kilómetros cuadrados de área.","The Hestia ship, functioning as a city in space, has an area of hundreds of square kilometers."
B93EF9_99D0E0,Me duele la cabeza.,I have a headache.
B93EF9_490E37,Quizá te haga bien dar una vuelta para intentar recordar.,Maybe would do you good to take a walk to try and remember.
B93EF9_75C18B,"Solo no salgas de este hangar, podría ser peligroso.","Just don’t quit from this airlock, could be dangerous."
B93EF9_FDA6E5,"Y no quiero que al primer humano a mi cargo le pase algo, ¿¡m' oyes!?","And I don’t want anything to happen to the first human under my care, y’ hear!?"
